150_min_median_max.txt: median X	150_min_median_max.txt: median Y	200_min_median_max.txt: median X	200_min_median_max.txt: median Y
43.0	-0.0259492058397
43.25	-0.0245441900702
43.5	-0.0135345335932
43.75	-0.0149165026536
44.0	-0.0227498414615
44.25	-0.0178746296809
44.5	-0.013155533323
44.75	-0.0149633470656
45.0	-0.0140136146448
45.25	-0.00895670331206
45.5	0.000698065054153
45.75	-0.00275602324948
46.0	-0.00028881552242
